,,Recovery State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,GUAM,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,PUERTO RICO,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,US VIRGIN ISLANDS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING,TOTAL
 Firearm Type ,Any Other Weapons,4,1,9,0,15,1,0,1,0,4,4,0,0,0,9,4,0,0,2,4,2,1,0,0,1,2,5,0,0,0,0,1,1,0,1,0,0,2,3,10,2,1,1,0,7,3,0,0,0,0,4,0,1,3,109
,Combinations,4,1,6,1,23,2,0,0,1,7,0,1,0,2,6,1,2,1,0,5,0,13,2,7,1,1,3,0,1,1,0,1,2,4,3,0,8,3,4,4,0,0,1,0,1,4,0,1,0,0,3,4,2,0,137
,Derringers,51,8,37,20,319,30,9,5,7,122,93,0,0,9,92,53,20,15,64,40,1,63,18,31,27,27,60,9,13,16,1,25,10,67,91,4,78,17,30,59,0,3,44,4,89,165,0,10,0,55,29,20,30,3,2093
,Destructive Devices,0,0,1,0,6,0,1,0,0,3,2,0,0,1,2,3,0,0,0,1,0,3,0,0,2,0,6,1,0,1,0,0,0,0,0,0,0,1,3,3,0,0,0,1,3,3,0,0,0,3,3,0,1,0,54
,Flare Guns,1,0,0,0,9,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,27
,Machineguns,9,1,68,2,193,25,12,2,0,91,23,0,0,2,19,8,1,8,20,13,1,15,12,19,21,16,12,0,21,17,2,10,21,9,34,0,34,8,4,17,8,1,7,2,143,58,5,75,2,19,20,0,4,0,1114
,Pistols,4559,518,5065,1547,22517,3412,780,694,1579,15662,11842,13,78,751,10243,5936,1488,2348,3917,6814,226,5088,1201,4025,2211,2661,6282,399,1045,2351,296,2483,1556,4412,9397,357,9308,1880,2492,6878,711,300,4802,341,8221,20182,75,1277,108,7166,3045,952,3571,118,215180
,Receivers/Frames,6,5,186,3,284,20,8,2,1,274,13,2,3,0,20,13,8,11,10,9,1,131,15,35,13,12,64,9,44,12,4,2,15,39,12,2,31,32,10,28,9,1,8,1,16,136,1,3,5,20,27,1,9,0,1626
,Revolvers,761,123,885,312,6505,631,241,132,269,3010,1808,10,25,164,1885,965,288,344,859,1242,40,1681,327,688,433,547,829,113,217,373,48,826,305,1553,2002,61,1512,247,634,1669,64,65,926,62,1511,3232,7,216,27,1139,650,270,461,40,43234
,Rifles,688,240,1435,279,8262,834,270,126,130,2730,1439,8,43,292,1065,874,430,434,584,1023,108,2478,241,751,712,608,963,307,361,505,76,387,400,946,1909,150,1151,497,1189,1474,94,93,735,220,1207,3925,5,346,74,1116,874,346,565,41,46040
,Shotguns,422,112,543,149,4253,449,144,134,100,1512,831,8,26,128,704,627,340,230,336,662,61,1549,163,471,477,325,460,105,286,239,48,295,227,655,1454,90,799,218,487,907,12,46,487,108,755,2101,5,177,36,630,458,196,319,22,26378
,Silencers,6,0,7,1,10,4,0,0,0,23,0,0,0,4,1,2,0,3,1,4,0,45,0,0,1,4,5,1,2,0,3,0,13,1,1,0,2,8,3,6,0,0,4,0,3,12,0,1,0,4,4,2,0,0,191
,Tear Gas Launchers,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
,Unknown Types,1,1,9,1,91,4,4,1,7,18,0,0,1,0,16,7,0,2,53,6,1,25,0,9,10,2,1,2,0,2,0,4,1,3,9,1,4,2,0,11,6,0,2,0,22,13,0,0,0,4,2,1,1,1,361
,TOTAL,6512,1010,8251,2315,42488,5414,1469,1097,2095,23458,16058,42,176,1353,14062,8493,2577,3396,5847,9823,441,11096,1979,6036,3909,4205,8690,947,1990,3517,478,4034,2551,7689,14913,665,12928,2915,4859,11066,906,510,7017,739,11982,29834,98,2106,252,10156,5120,1792,4965,228,336549
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"- Includes Firearms Recovered and Traced between 1/1/2018 - 12/31/2018, or, if the recovery date was blank, the trace entry date was between 1/1/2018 - 12/31/2018. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"- Statistics are based on a query of the Firearms Tracing System (FTS) on April 11, 2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
