,,Recovery State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Firearm Type,,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,GUAM,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,PUERTO RICO,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,US VIRGIN  ISLANDS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING,TOTAL
,PISTOL,3172,440,3802,1563,14205,1621,393,476,818,10341,6665,24,60,353,5627,3355,595,1257,1564,4061,150,3145,903,3434,1234,1031,2667,196,863,1891,80,1983,712,3993,5580,102,6073,752,1523,4883,644,177,2427,56,3953,8117,125,583,92,3964,1983,352,1765,63,125888
,REVOLVER,1089,150,1008,556,6687,510,164,215,320,3556,2031,4,28,122,2676,1043,164,335,590,1271,66,1426,344,1282,371,378,684,86,305,560,18,1007,223,2221,2111,30,1904,230,588,1862,69,73,887,21,1397,2412,19,166,27,1121,651,143,564,30,45795
,RIFLE,616,242,1504,396,6633,526,126,139,82,2538,1248,20,60,229,1317,716,255,355,561,799,117,1803,174,1089,505,285,866,168,654,525,40,403,365,1199,1890,67,1227,366,947,1514,86,30,473,63,949,2674,5,327,90,1254,797,222,629,56,40221
,SHOTGUN,533,143,868,345,4130,272,88,186,101,1865,962,3,36,107,1098,738,239,270,385,743,87,1484,125,848,473,216,459,72,236,331,27,388,195,965,1607,49,1221,218,488,948,11,24,467,36,810,1872,10,134,43,887,451,153,440,11,28898
,DERRINGER,83,5,61,36,272,28,9,9,5,174,75,0,2,11,116,53,5,20,50,62,7,40,17,51,20,34,40,1,6,37,1,28,18,103,119,0,96,13,35,75,0,2,31,2,84,110,1,9,3,67,31,13,25,0,2195
,MACHINEGUN,30,22,88,22,110,25,12,0,2,85,48,0,7,7,61,29,12,11,31,22,2,40,2,17,18,9,22,10,9,21,3,11,16,22,43,6,40,17,15,132,0,1,16,4,47,99,0,25,7,38,25,19,15,7,1382
,RECEIVER/FRAME,4,1,16,17,183,2,5,1,2,50,5,0,8,0,4,6,2,9,64,4,1,11,3,58,1,0,33,0,2,1,5,6,1,21,10,0,8,5,1,10,6,0,1,2,7,34,0,14,0,2,3,0,4,0,633
,COMBINATION GUN,1,4,7,3,39,4,1,1,0,13,2,0,0,0,6,0,1,0,1,3,1,13,2,3,1,0,2,0,6,0,0,1,1,2,3,0,8,3,5,12,0,0,3,0,7,8,0,1,0,6,2,0,2,0,178
,UNKNOWN TYPE,1,0,14,3,26,4,2,1,1,14,6,0,0,0,7,2,1,1,14,4,1,6,0,16,4,1,7,3,1,1,0,1,6,4,4,1,7,2,2,18,2,0,2,0,31,17,0,0,0,19,2,1,6,2,268
