,,Recovery State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,GUAM & NORTHERN MARIANA ISLANDS,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,PUERTO RICO,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,US VIRGIN ISLANDS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING,TOTALS
Firearm Type,PISTOL,3579,361,4260,472,15570,1919,646,522,791,11238,6984,9,45,385,6394,3500,730,1298,1777,4306,132,3058,857,3207,1258,1550,3050,220,520,1802,122,2129,783,3793,5506,438,6204,765,1666,4848,886,225,2330,88,3044,8977,110,590,71,4057,1890,396,2121,83,131562
,REVOLVER,1069,117,1057,159,6710,541,288,187,324,3761,1963,9,23,105,2716,863,186,302,544,1214,51,1374,367,1028,352,465,729,66,157,554,58,1023,217,1756,1913,155,1882,227,568,1676,144,90,769,28,1081,2329,21,141,30,1106,563,156,544,41,43799
,RIFLE,649,143,1400,171,7501,550,280,120,119,2522,1266,3,35,200,1121,599,249,365,452,938,79,1746,179,839,462,332,666,127,195,415,54,414,397,1137,1686,415,1086,302,1037,1384,167,64,494,68,913,2510,1,242,42,1101,798,226,527,66,38854
,SHOTGUN,502,76,786,104,4350,321,142,111,100,1762,898,8,16,113,1035,543,268,252,305,688,44,1405,107,714,331,248,467,50,214,259,20,353,219,869,1474,278,988,165,457,908,37,42,433,57,656,1906,3,117,18,741,404,132,443,31,26970
,DERRINGER,61,4,56,9,278,34,14,8,7,205,79,0,1,8,127,59,19,22,38,45,4,55,19,35,17,25,39,5,9,26,0,29,17,89,119,12,96,10,42,71,8,3,33,2,96,115,0,11,0,66,26,16,27,1,2197
,MACHINEGUN,17,4,20,7,121,13,11,0,0,17,20,0,2,10,9,14,5,1,6,12,1,17,3,46,4,12,10,0,2,75,1,32,7,16,20,3,27,10,11,9,8,0,2,6,24,46,0,6,0,13,9,5,3,0,717
,RECEIVER/FRAME,7,5,11,1,265,0,435,0,0,35,4,0,5,7,144,4,1,5,4,2,0,28,2,126,1,2,2,0,3,24,0,5,1,14,8,2,10,2,15,6,9,11,3,0,3,51,0,2,0,18,5,1,12,0,1301
,COMBINATION GUN,2,2,5,1,29,3,2,1,2,7,4,0,0,1,4,0,2,0,3,1,2,13,1,4,3,2,7,1,1,2,0,3,0,1,4,1,5,0,5,14,0,1,1,1,3,6,0,0,0,5,3,1,1,0,160
,UNKNOWN TYPE,3,2,9,2,43,1,1,0,1,22,11,0,1,4,12,1,0,0,14,4,1,3,2,4,1,0,5,0,1,2,0,6,1,11,5,3,7,0,5,11,2,0,2,0,11,21,0,0,0,4,3,0,3,0,245
,SILENCER,0,0,0,1,8,2,3,0,0,1,4,0,0,1,0,2,0,1,1,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,2,0,24,2,2,1,0,0,0,0,0,6,0,0,0,5,1,0,0,0,81
,ANY OTHER WEAPON,1,0,2,5,10,3,0,0,0,4,3,0,0,0,2,1,1,2,3,0,0,5,1,4,0,2,1,0,1,2,1,0,2,0,5,1,3,1,0,1,0,0,0,2,6,4,0,0,0,2,1,0,1,2,85
,DESTRUCTIVE DEVICE,1,0,4,1,3,1,8,0,1,14,5,0,0,0,3,1,0,0,18,2,2,0,0,3,0,1,0,0,0,4,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,4,0,1,0,9,3,0,0,0,94
,FLARE GUN,0,0,0,0,2,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,12
